chpatno,slokano,sentno,Word,Sandhied Word,Hindi Meaning,English Meaning
01,006,1,,यथाकामार्चितार्थिनाम्,कामना_के_अनुसार_याचकों_का_पूजन_करनेवालों_का,-
01,006,1,,यथापराधदण्डानां,अपराध_के_अनुसार_दण्ड_देनेवालों_का,-
01,006,1,,यथाकालप्रबोधिनाम्,उचित_समय_पर_जागनेवालों_का,-
01,006,1,,(-),(ऐसे)_रघुओं_के,-
01,006,1,,(-),वंश_का,-
01,006,1,,(-),वर्णन_करता_हूँ,-
01,007,1,,(-),मैं,-
01,007,1,,त्यागाय,दान_करने_के_लिए,-
01,007,1,,सम्भृतार्थानां,धन_इकठ्ठा_करने_वालों_का,-
01,007,1,,सत्याय,सत्य_के_लिये,-
01,007,1,,मितभाषिणाम्,थोडा_बोलने_वालों_का,-
01,007,1,,यशसे,कीर्ति_के_लिए,-
01,007,1,,विजिगीषूणां,जीत_चाहनेवालों_का,-
01,007,1,,प्रजायै,पुत्र_के_लिये,-
01,007,1,,गृहमेधिनाम्,विवाह_करनेवालों_का,-
01,007,1,,(-),(ऐसे)_रघुओं_के,-
01,007,1,,(-),वंश_का,-
01,007,1,,(-),वर्णन_करता_हूँ,-
01,008,1,,(-),मैं,-
01,008,1,,शैशवेभ्यस्तविद्यानां,बचपन_में,-
01,008,1,,-,विद्या_पढनेवालों_का,-
01,008,1,,यौवने,यौवन_में,-
01,008,1,,विषयैषिणाम्,भोग_की_इच्छा_करनेवालों_का,-
01,008,1,,वार्द्धके,बूढापे_में,-
01,008,1,,मुनिवृत्तीनां,मुनि-वृत्ति_होनेवालों_का,-
01,008,1,,-,अन्त_में,-
01,008,1,, योगेनान्ते,योग_से,-
01,008,1,,तनुत्यजाम्,शरीर-त्याग_करनेवालों_का,-
01,008,1,,(-),(ऐसे)_रघुओं_के,-
01,008,1,,(-),वंश_का,-
01,008,1,,(-),वर्णन_करता_हूँ,-
01,009,1,,(-),मैं,-
01,009,1,,तनुवाग्विभवोऽपि,वाणी_का_प्रताप_थोडा,-
01,009,1,,सन्,होते_हुए,-
01,009,1,,-,भी,-
01,009,1,,तद्गुणैः,उनके_गुणों_से,-
01,009,1,,कर्णमागत्य,कान_में,-
01,009,1,,-,प्राप्त_हुए,-
01,009,1,,चापलाय,चपलता_के_लिये,-
01,009,1,,प्रचोदितः,प्रेरणा_किया_हुआ,-
01,009,1,,रघूणामन्वयं,रघुओं_के,-
01,009,1,,-,वंश_का,-
01,009,1,,वक्ष्ये,वर्णन_करता_हूँ,-
01,010,1,,सदसद्व्यक्तिहेतवः,सत्य_असत्य_का_निर्णय_करनेवाले,-
01,010,1,,सन्तः,सज्जन,-
01,010,1,,तं,उसको(उस_वंश_को),-
01,010,1,,श्रोतुमर्हन्ति   ,सुनने~के_लिये,-
01,010,1,,-,योग्य_होते_हैं,-
01,010,2,,-,हि,-
01,010,2,,हेम्नः,सोने_की,-
01,010,2,,विशुद्धिः,पवित्रता,-
01,010,2,,वा,और,-
01,010,2,,श्यामिकाऽपि,कालिमा,-
01,010,2,,-,भी,-
01,010,2,,ह्यग्नौ  ,अग्नि_में,-
01,010,2,,संलक्ष्यते ,अच्छा_दिखता_है ,-
01,011,1,,मनीषिणाम्,विद्वानों_में_,-
01,011,1,,माननीयो,सम्मान_के_योग्य,-
01,011,1,,वैवस्वतो,वैवस्वत,-
01,011,1,,-,नाम,-
01,011,1,,मनुर्नाम,मनु,-
01,011,1,,-,छन्दों_में,-
01,011,1,,प्रणवश्छन्दसामिव,ओंकार,-
01,011,1,,-,जैसे,-
01,011,1,,आसीन्महीक्षितामाद्यः,राजाओं_में,-
01,011,1,,-,प्रथम,-
01,011,1,,-,था,-
01,012,1,,तदन्वये,वह-अन्वय_में,-
01,012,1,,शुद्धिमति,शुद्धि-मति,-
01,012,1,,प्रसूतः,प्र_षू1या_हुए,-
01,012,1,,शुद्धिमत्तरः,शुद्धि-मैं-तरः,-
01,012,1,,-,जैसे,-
01,012,1,,दिलीप,दिलीप_ने,-
01,012,1,,इति,इति-राजा-चन्द्रमा,-
01,012,1,,-,-,-
01,012,1,,राजेन्दुरिन्दुः,चन्द्रमा,-
01,012,1,,क्षीरनिधाविव,जल-निधि_में,-
01,012,1,,(अभवत्),ध्_भू1_प्प्_स्क्या,-
01,013,1,,(-),दिलीप,-
01,013,1,,व्यूढोरस्कः,चौडा,-
01,013,1,,वृषस्कन्धः,साँड-कन्धे,-
01,013,1,,शालप्रांशुः,शाल-वृक्षःसा–उन्नत,-
01,013,1,,महाभुजः,महत भुज,-
01,013,1,,आत्मकर्मक्षमम्,आत्म-कर्म-योग्य,-
01,013,1,,देहम्,शरीर_में,-
01,013,1,,आश्रितः,आश्रय_लिया,-
01,013,1,,क्षात्रो,क्षात्र-धर्म_ने,-
01,013,1,,धर्म,-,-
01,013,1,,इव,जैसे,-
01,013,1,,(-),-,-
01,014,1,,सर्वातिरिक्तसारेण,सब-अतिरिक्त-आवश्यक_से,-
01,014,1,,सर्वतेजोभिभाविना,सब-तेजोभि-भावी,-
01,014,1,,सर्वोन्नतेनोर्वीं,सब-उन्नत,-
01,014,1,,-,आत्मा_के_द्वारा,-
01,014,1,,मेरुरिवात्मना,मेरु,-
01,014,1,,-,जैसे,-
01,014,1,,-,भूमि,-
01,014,1,,क्रान्त्वा,चाह_कर,-
01,014,1,,स्थितः,स्थित_ने,-
01,014,1,,(आसीत्),अस्2_प्प्_स्क्या,-
01,015,1,,(-),उस,-
01,015,1,,आकारसदृशप्रज्ञः,-,-
01,015,1,,प्रज्ञया,बुद्धि_से,-
01,015,1,,सदृशागमः,समान_का,-
01,015,1,,-,जन्म,-
01,015,1,,आगमैः,जन्मों_से,-
01,015,1,,सदृशारम्भः,समान,-
01,015,1,,-,-,-
01,015,1,,आरम्भसदृशोदयः,आरम्भ-समान-उदय,-
01,015,1,,(-),थे,-
01,016,1,,स,वह,-
01,016,1,,यादोरत्नैरिवार्णवः,कोई_भी_विशालकाय_जलजन्तु_के,-
01,016,1,,-,अर्णव,-
01,016,1,,-,जैसे,-
01,016,1,,भीमकान्तैर्नृपगुणैः,भीम-पति,-
01,016,1,,-,राजा-गुणों_से,-
01,016,1,,-,उपजीविनों_का,-
01,016,1,,अधृष्यश्चाभिगम्यश्च,अधृष्य,-
01,016,1,,-,भी,-
01,016,1,,-,अभिगम्य,-
01,016,1,,-,और,-
01,016,1,,बभूवोपजीविनाम्,हुआ,-
01,017,1,,रेखामात्रमपि ,रेखा-मात्र,-
01,017,1,,-,भी,-
01,017,1,,क्षुण्णादामनोर्वर्त्मनः ,ध्_क्षुद्1या_हुए,-
01,017,1,,-,मनु_से,-
01,017,1,,-,मार्ग_से,-
01,017,1,,परम् ,बाद,-
01,017,1,,न,नहीं,-
01,017,1,,व्यतीयुः,वि_अति_इ1_प्प्_स्क्या,-
01,017,1,,प्रजास्तस्य ,स्वामियों_ने,-
01,017,1,,-,उस,-
01,017,1,,नियन्तुर्नेमिवृत्तयः ,नियन्ते_के,-
01,017,1,,-,नेमि-वृत्ति,-
01,018,1,,प्रजानामेव,प्रजा_के,-
01,018,1,,-,ही,-
01,018,1,,भूत्यर्थं,कल्याण-अर्थ_को,-
01,018,1,,स,उसने,-
01,018,1,,ताभ्यो,उनसे,-
01,018,1,,बलिमग्रहीत्,बलि,-
01,018,1,,-,लिया,-
01,018,2,,सहस्रगुणमुत्स्रष्टुमादत्ते,हजार-गुण,-
01,018,2,,-,उत्_सृज्2ने~के_लिये,-
01,018,2,,-,उगता_है,-
01,018,2,,हि,हि,-
01,018,2,,रसम्,रस_को,-
01,018,2,,रविः,रवि,-
01,019,1,,सेनापरिच्छदस्तस्य ,परिच्छद,-
01,019,1,,-,उसकी,-
01,019,1,,(बभूव),ध्_भू1_प्प्_स्क्या,-
01,019,2,,द्वयमेव ,दोहरा,-
01,019,2,,-,ही,-
01,019,2,,अर्थसाधनम्,अर्थ-साधन,-
01,019,2,,शास्त्रेष्वकुन्ठिता ,शास्त्रों_में,-
01,019,2,,-,अ-वि_आङ्_हन्1या_हुईं,-
01,019,2,,बुद्धिर्मैर्वी ,बुद्धि_ने,-
01,019,2,,-,-,-
01,019,2,,धनुषी,धनुष,-
01,019,2,,आतता,आङ्_तन्1या_हुआ,-
01,019,2,,च,-,-
01,019,2,,(बभूव),ध्_भू1_प्प्_स्क्या,-
01,020,1,,संवृतमन्त्रस्य,संवृत-मन्त्र,-
01,020,1,,गूढाकारेङ्गितस्य,-,-
01,020,1,,च,भी,-
01,020,1,,तस्य,उसके,-
01,020,1,,प्रारम्भाः,प्रारम्भ,-
01,020,1,,संस्काराः,संस्कार,-
01,020,1,,प्राक्तना,प्राचीन,-
01,020,1,,इव,जैसे,-
01,020,1,,फलानुमेयाः,फल-,-
01,020,1,,(-),हुए,-
01,021,1,,जुगोप,व्याकुल_हुआ रक्षा_की,-
01,021,1,,आत्मानम्,आत्मा_को,-
01,021,1,,अत्रस्तः,अ-,-
01,021,2,,भेजे,भज्1_अप्_स्क्या,-
01,021,2,,धर्मम्,धर्म,-
01,021,2,,अनातुरः,अनातुर_ने,-
01,021,3,,अगृध्नुराददे,अ-गृध्नु,-
01,021,3,,_,उगा ,-
01,021,3,,सोऽर्थम्,वह,-
01,021,3,,_,अर्थ,-
01,021,4,,असक्तः,असक्त_ने,-
01,021,4,,सुखम्,सुख,-
01,021,4,,अन्वभूत्,अनुभव_किया,-
01,022,1,,ज्ञाने,ज्ञान_में,-
01,022,1,,(तस्य),उसका,-
01,022,1,,मौनं,मौन,-
01,022,1,,(आसीत्),था,-
01,022,2,,शक्तौ,शक्ति_में,-
01,022,2,,क्षमा,क्षमा,-
01,022,2,,(आसीत्),थी,-
01,022,3,,त्यागे,त्याग_में,-
01,022,3,,श्लाघाविपर्ययः,श्लाघ-विपरीत,-
01,022,3,,(आसीत्),था,-
01,022,4,,तस्य,उसके,-
01,022,4,,गुणा गुणानुबन्धित्वात्,गुण-अ-गुण,-
01,022,4,,___,वृक्ष_से,-
01,022,4,,सप्रसवा,स-प्रसव,-
01,022,4,,इव,जैसे,-
01,022,4,,(आसन्),थे,-
01,023,1,,विषयैर्विद्यानां,विषयों_से,-
01,023,1,,अनाकृष्टस्य,अन्-अकृष्ट,-
01,023,1,,विषयैर्विद्यानां,विद्या_के,-
01,023,1,,पारदृश्वनः,पारदृश्वन्_के,-
01,023,1,,धर्मरतेरासीद्वृद्धत्वं,धर्म-रति,-
01,023,1,,तस्य,उसका,-
01,023,1,,जरसा,बुढापे_का,-
01,023,1,,विना,विना,-
01,023,1,,धर्मरतेरासीद्वृद्धत्वं,वृद्धत्व,-
01,023,1,,धर्मरतेरासीद्वृद्धत्वं,था,-
01,024,1,,प्रजानां,प्रजा_का,-
01,024,1,,विनयाधानाद्रक्षणाद्भरणादपि,नीति-शिक्षण_से,-
01,024,1,,-,रक्षण_से,-
01,024,1,,-,घुडकने~भरण पोषण करने से,-
01,024,1,,-,भी,-
01,024,1,,स,वह,-
01,024,1,,पिता,पिता,-
01,024,1,,(-),था,-
01,024,2,,(-),उन,-
01,024,2,,प्रजानां,प्रजा_के,-
01,024,2,,पितरास्तासां,पिता,-
01,024,2,,केवलं,केवल,-
01,024,2,,जन्महेतवः,जन्म-,-
01,024,2,,आसन्,थे,-
01,025,1,,दण्ड्यान्परिणेतुः,अपराध,-
01,025,1,,स्थित्यै,स्थिति_के_लिये,-
01,025,1,,दण्डयतो,दण्ड_देते_हैं,-
01,025,1,,प्रसूतये,जन्म_देना_के_लिये,-
01,025,1,,-,परिणेतृ_की,-
01,025,1,,मनीषिणः,बुद्धिमान्,-
01,025,1,,तस्यास्तां,उसके,-
01,025,1,,-,अर्थकाम,-
01,025,1,,अप्यर्थकामौ,भी,-
01,025,1,,धर्म,धर्म,-
01,025,1,,एव,ही,-
01,025,1,,-,था,-
01,026,1,,दुदोह,दोहा,milked
01,026,1,,गां,गाय_को,cow
01,026,1,,सः,उसने,He
01,026,1,,यज्ञाय,यज्ञ_के_लिये,For the prayer/sacrifice
01,026,2,,सस्याय,अनाज_के_लिये,-
01,026,2,,मघवा,इन्द्र_ने,-
01,026,2,,दिवं,आकाश_को,-
01,026,2,,(-),दोहा,-
01,026,3,,सम्पद्विनिमयेन,सम्पत्ति-विनिमय_से,an interchange of benefit or advantage
01,026,3,,उभौ,दोनो,Both
01,026,3,,दधतु,धारण_करिए,-
01,026,3,,भुवनद्वयं,भुवन-दोहरा,two worlds
01,027,1,,न,नहीं,-
01,027,1,,किलानुययुस्तस्य,अवश्य,-
01,027,1,,-,अनु_या1_प्प्_स्क्या,-
01,027,1,,-,उसके,-
01,027,1,,राजानो,राजाओं_ने,-
01,027,1,,रक्षितुर्यशः,चौकीदार_के,-
01,027,1,,-,यशः,-
01,027,2,,व्यावृत्ता,ण्थ्या_हुए,-
01,027,2,,यत्परस्वेभ्यः,क्योंकि,-
01,027,2,,-,बाद-स्वयं_से,-
01,027,2,,श्रुतौ,श्रुति_में,-
01,027,2,,तस्करता,चोर-भाव,-
01,027,2,,स्थिता,ध्_ष्था1या,-
01,028,1,,यथौषधम्,जैसे,-
01,028,1,,-,पीडित_की,-
01,028,1,,-,औषधि,-
01,028,1,,(-),सहमत_ने,-
01,028,1,,(-),अस्2_प्प्_स्क्या,-
01,028,1,,(-),वैसे,-
01,028,1,,शिष्टस्तस्यार्तस्य,शिष्ट_व्यक्ति,-
01,028,1,,द्वेष्योऽपि,घृणा_योग्य_ने,-
01,028,1,,-,भी,-
01,028,1,,-,उसका,-
01,028,1,,सम्मतः,-,-
01,028,1,,(-),अस्2_प्प्_स्क्या,-
01,028,2,,दुष्टः,दुःखित_होना_या_किया_हुआ,-
01,028,2,,(-),नर,-
01,028,2,,प्रियोऽप्यासीदङ्गुलीवोरगक्षता,प्रिय,-
01,028,2,,-,भी,-
01,028,2,,-,उरग-क्षता,-
01,028,2,,-,अङ्गुली,-
01,028,2,,-,जैसे,-
01,028,2,,त्याज्यो,-,-
01,028,2,,-,था,-
01,029,1,,नूनं,अवश्य,-
01,029,1,,वेधा,ब्रह्मे_ने,-
01,029,1,,महाभूतसमाधिना,-,-
01,029,1,,तं,वह,-
01,029,1,,विदधे,किया,-
01,029,2,,तथा,वैसे,-
01,029,2,,हि,हि,-
01,029,2,,तस्यासन्परार्थैकफला,उसके,-
01,029,2,,सर्वे,सब,-
01,029,2,,गुणाः,गुण,-
01,029,2,,-,बाद-अर्थ-एक-,-
01,029,2,,-,थे,-
01,030,1,,स,उसने,-
01,030,1,,वेलावप्रवलयां,समय-दुर्गाप्राचीर-वलया,-
01,030,1,,परिखीकृतसागराम्,परिखीकृत-सागरा,-
01,030,1,,अनन्यशासनामुर्वीं,अनन्य-शासनाम्-भूमि,-
01,030,1,,शशासैकपुरीमिव,शासन_किया,-
01,030,1,,-,एक-पुरी_से,-
01,030,1,,-,जैसे,-
01,031,1,,तस्य,उसकी,-
01,031,1,,मगधवंशजा,मागध-वंशजा,-
01,031,1,,दाक्षिण्यरूढेन,नम्रता-उगा_हुए,-
01,031,1,,सुदक्षिणेत्यासीदध्वरस्येव,सुदक्षिणा,-
01,031,1,,-,ऐसा,-
01,031,1,,नाम्ना,नाम_से,-
01,031,1,,पत्नी,-,-
01,031,1,,-,अध्वर_का,-
01,031,1,,दक्षिणा,दक्षिणा,-
01,031,1,,-,जैसे,-
01,031,1,,-,थी,-
01,032,1,,कलत्रवन्तमात्मानमवरोधे,कलत्र,-
01,032,1,,-,आत्मा,-
01,032,1,,-,अवरोध,-
01,032,1,,महत्यपि,महान्_में,-
01,032,1,,-,भी,-
01,032,1,,तया,उससे,-
01,032,1,,मेने,जाना,-
01,032,1,,मनस्विन्या,मनस्विनी_से,-
01,032,1,,लक्ष्म्या,लक्ष्मी_से,-
01,032,1,,च,और,-
01,032,1,,वसुधाधिपः,-,-
01,033,1,,-,आत्मा-अनुरूप,-
01,033,1,,तस्यामात्मानुरूपायामात्मजन्मसमुत्सुकः,उसमें,-
01,033,1,,-,आत्मा-जन्मन्,-
01,033,1,,स,उसने,-
01,033,1,,विलम्बितफलैः,लम्ब्-फलों_से,-
01,033,1,,"मनोरथैः
",मनः-रथों_से,-
01,033,1,,"कालं
",समय,-
01,033,1,,निनाय,ले गया/बिताया,-
01,034,1,,सन्तानार्थाय ,पुत्र-पुत्री-अर्थ_के_लिये,-
01,034,1,,विधये,विधयों_को,-
01,034,1,,स्वभुजादवतारिता ,अपना-हाथ_से,-
01,034,1,,-,उतराईं_हुईं,-
01,034,1,,तेन,उससे,-
01,034,1,,धूर्जगतो ,धुर्_ने,-
01,034,1,,-,जगत्_की,-
01,034,1,,गुर्वी,भारी,-
01,034,1,,सचिवेषु,सचिवों_में,-
01,034,1,,निचिक्षिपे,रखा,-
01,035,1,,अथाभ्यर्च्य,और,-
01,035,1,,प्रयतौ,-,-
01,035,1,,तौ,वे,-
01,035,1,,दम्पती,पति_और_पत्नियों_को,-
01,035,1,,पुत्रकाम्यया,पुत्र-कामना_से,-
01,035,1,,विधातारं,विधाता,-
01,035,1,,-,अभि_अर्च्1_कर,-
01,035,1,,गुरोर्जग्मतुराश्रमम्,भारी,-
01,035,1,,वसिष्ठस्य,वसिष्ठ_का,-
01,035,1,,-,आश्रम,-
01,035,1,,-,गये,-
01,036,1,,स्निग्धगम्भीरनिर्घोषमेकं,"चिकना, तैलाक्त,मृदु, सौम्य,गभीर-निर्घोष,ध्वनि निनाद",-
01,036,1,,-,एक,-
01,036,1,,स्यन्दनमास्थितौ,रथ,-
01,036,1,,प्रावृषेण्यं,"वर्षा ऋतु में उत्पन्न, वर्षा ऋतु से संबद्ध,प्रावृषेण्य_को",-
01,036,1,,पयोवाहं,"बादल,पयोवाह_के",-
01,036,1,,विद्युदैरावताविव,विद्युत्-ऐरावत,-
01,036,1,,-,जैसे,-
01,036,1,,-,रहने_वाले,-
01,036,1,,(-),वे,-
01,036,1,,(-),गये,-
01,037,1,,-,आश्रम-पीडा,-
01,037,1,,मा,-,-
01,037,1,,भूदाश्रमपीडेति,हुआ,-
01,037,1,,-,ऐसा,-
01,037,1,,(-),हेतु_से,-
01,037,1,,परिमेयपुरःसरौ,परिमेय-पुरःसर,-
01,037,1,,अनुभावविशेषात्तु,-,-
01,037,1,,-,तो,-
01,037,1,,सेनापरिवृताविव,-,-
01,037,1,,-,जैसे,-
01,037,1,,(-),वे,-
01,037,1,,(-),गये,-
01,038,1,,सुखस्पर्शैः,सुख-स्पर्श,-
01,038,1,,शालनिर्यासगन्धिभिः,शाल-निर्यास-गन्धियों_से,-
01,038,1,,पुष्परेणूत्किरैर्वातैराधूतवनराजिभिः,पुष्प-रेणू-उत्किर,-
01,038,1,,-,"आधूत-अरण्य, जंगल, वृक्षों का-धारी, रेखा, पंक्ति, कतार",-
01,038,1,,-,"हवा, वायु से",-
01,038,1,,सेव्यमानौ,सेवा की,-
01,038,1,,(-),वे,-
01,038,1,,(-),गये,-
01,039,1,,रथनेमिस्वनोन्मुखैः,रथ-नेमि-कोलाहल-उन्मुख,-
01,039,1,,शिखण्डिभिः,शिखाधारियों_से,-
01,039,1,,द्विधा,दो प्रकार से,-
01,039,1,,भिन्नाः,द्विधा-भिन्न,-
01,039,1,,मनोभिरामाः,मनो-अभिराम,-
01,039,1,,षड्जसंवादिनीः,षड्ज_स्वर-संवादिनी,-
01,039,1,,केका,मोर_की_बोलियों_को,-
01,039,1,,श्रृण्वन्तौ,सुनते_हुए,-
01,039,1,,(-),वे,-
01,039,1,,(-),गये,-
01,040,1,,-,-,-
01,040,1,,स्यन्दनाबद्धदृष्टिषु,अदूर-दृष्टि_वाले,-
01,040,1,,मृगद्वन्द्वेषु,हिरन-द्वन्द्वों_में,-
01,040,1,,परस्पराक्षिसादृश्यमदूरोज्झितवर्त्मसु,परस्पर-अक्षी-सादृश्य_को,-
01,040,1,,पश्यन्तौ,देखते_हुए,-
01,040,1,,(-),वे,-
01,040,1,,(-),गये,-
01,041,1,,श्रेणीबन्धाद्वितन्वद्भिरस्तम्भां,दल-बन्ध_से,-
01,041,1,,-,अ-दबाना,-
01,041,1,,तोरणस्रजम्,-,-
01,041,1,,-,वि_तन्1ते_हुए,-
01,041,1,,कलनिर्ह्रादैः,मधुर_और_अस्पष्ट-निर्ह्राद,-
01,041,1,,सारसैः,हंसों_से,-
01,041,1,,क्वचिदुन्नमिताननौ,कहीं,-
01,041,1,,-,-,-
01,041,1,,(-),वे,-
01,041,1,,(-),गये,-
01,042,1,,पवनस्यानुकूलत्वात्प्रार्थनासिद्धिशंसिनः,प्रार्थना-पूर्णता-शंसिन्_के,-
01,042,1,,-,हवा_के,-
01,042,1,,-,अनुकूल_से,-
01,042,1,,-,घोडा-ण्थ्या_हुए,-
01,042,1,,रजोभिस्तुरगोत्कीर्णैरस्पृष्टालकवेष्टनौ,धूल_से,-
01,042,1,,-,अस्पृष्टा-अलक-लपेटने~को,-
01,042,1,,(-),वे,-
01,042,1,,(-),गये,-
01,043,1,,सरसीष्वरविन्दानां,सरसियों_में,-
01,043,1,,वीचिविक्षोभशीतलम्,लहर-हिलाना-शीतल,-
01,043,1,,स्वनिःश्वासानुकारिणम्,अपना-निःश्वास-अनु_कृ2ने~को,-
01,043,1,,-,कमलों_के,-
01,043,1,,आमोदमुपजिघ्रन्तौ,आमोद_के,-
01,043,1,,-,उप-सूँघता_हुवे,-
01,043,1,,(-),वे,-
01,043,1,,(-),गये,-
01,044,1,,-,आत्म-उद्गीर्णों_में,-
01,044,1,,यूपचिह्नेषु,यूप-चिह्नों_में,-
01,044,1,,ग्रामेष्वात्मविसृष्टेषु,गाँवों_में,-
01,044,1,,-,यज्ञ_करने_वालों_के,-
01,044,1,,-,अमोघ,-
01,044,1,,-,आशीर्वाद_के,-
01,044,1,,-,अर्घ्य-अनुपद_को,-
01,044,1,,प्रतिगृह्णन्तावर्घ्यानुपदमाशिषः,अनुमोदन_करते_हुए,-
01,044,1,,(-),वे,-
01,044,1,,(-),गये,-
01,045,1,,हैयङ्गवीनमादाय,ताजा_घी_को,-
01,045,1,,-,ले_कर,-
01,045,1,,-,उपस्थित,-
01,045,1,,घोषवृद्धानुपस्थितान्,घोष-वृद्ध,-
01,045,1,,-,विशाल_जंगलों_के,-
01,045,1,,मार्गशाखिनाम्,मार्ग-वेदों_का,-
01,045,1,,नामधेयानि,धेय-,-
01,045,1,,-,पूछते_हुए,-
01,045,1,,(-),वे,-
01,045,1,,(-),गये,-
01,046,1,,-,जाते_हुए,-
01,046,1,,शुद्धवेषयोः,-,-
01,046,1,,तयोरासीद्व्रजतोः,उनकी,-
01,046,1,,हिमनिर्मुक्तयोर्योगे,वर्फ-निर्मुक्ताओं_के,-
01,046,1,,चित्राचन्द्रमसोरिव,चित्र-चन्द्रमाओं_में,-
01,046,1,,-,जैसे,-
01,046,1,,-,योग_में,-
01,046,1,,काऽप्यभिख्या,कौन,-
01,046,1,,-,भी,-
01,046,1,,-,-,-
01,046,1,,-,थी,-
01,047,1,,-,प्रिय-दर्शन,-
01,047,1,,बुधोपमः,विद्वान्-उपम,-
01,047,1,,-,भूमि-पति,-
01,047,1,,तत्तद्भूमिपतिः,-,-
01,047,1,,-,-,-
01,047,1,,पत्न्यै,पत्नी_को,-
01,047,1,,दर्शयन्प्रियदर्शनः,दिखाता_हुआ,-
01,047,1,,लङ्घितमध्वानं,-,-
01,047,1,,अपि,भी,-
01,047,1,,-,मार्ग_को,-
01,047,1,,न,नहीं,-
01,047,1,,बुबुधे,-,-
01,048,1,,दुष्प्रापयशाः,दुष्प्राप-यशस्,-
01,048,1,,श्रान्तवाहनः,वाहन_से,-
01,048,1,,-,रानी-सख,-
01,048,1,,स,वह,-
01,048,1,,सायम्,संध्याकाल,-
01,048,1,,संयमिनस्तस्य,संयमी_के,-
01,048,1,,-,उस,-
01,048,1,,महर्षेर्महिषीसखः,महर्षि_का,-
01,048,1,,-,आश्रम,-
01,048,1,,प्रापदाश्रमं,प्राप्त_हुआ,-
01,049,1,,(-),-,-
01,049,1,,वनान्तरादुपावृत्तैः,वन-अन्तर_से,-
01,049,1,,-,उप-आङ्_वृत्1या_हुए,-
01,049,1,,समित्कुशफलाहरैः,संग्राम-कुश-फल-आहरों_से,-
01,049,1,,-,अदृश्य-अग्नि-ण्थ्या_हुए,-
01,049,1,,-,तपस्वियों_से,-
