key,text
cantoList.SV-22[5].trRows[2].tdColumns[0].data,परस्पर{पुं}{3;एक}/परस्पर{नपुं}{3;एक} 
cantoList.SV-22[5].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[5].trRows[3].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[3].tdColumns[0].data,<a (click)=showDic('परस्पर')>परस्पर</a>{पुं}{3;एक} 
cantoList.SV-22[5].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[5].trRows[4].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[4].tdColumns[0].data,"<a href=""javascript:show('क्रिया-विशेषणम्,')"">क्रिया-विशेषणम्,12</a>"
cantoList.SV-22[5].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[5].trRows[5].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[5].tdColumns[0].data,परस्पर_से 
cantoList.SV-22[5].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[5].trRows[6].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[6].tdColumns[0].data,mutually
cantoList.SV-22[5].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[5].trRows[7].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[7].tdColumns[0].data,-
cantoList.SV-22[5].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[5].trRows[8].tdColumns[0].className,n3
cantoList.SV-22[5].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[5].trRows[9].tdColumns[0].className,n3
cantoList.SV-22[6].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[6].trRows[0].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[0].tdColumns[0].data,च्छुरित-अमल-च्छवी
cantoList.SV-22[6].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[6].trRows[1].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[1].tdColumns[0].data,च्छुरित-अमल-च्छवी 
cantoList.SV-22[6].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[6].trRows[2].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[2].tdColumns[0].data,च्छुरित-अमल-च्छवी{स्त्री}{1;द्वि}
cantoList.SV-22[6].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[6].trRows[3].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[3].tdColumns[0].data,<a (click)=showDic('च्छुरित')>च्छुरित</a>-<a (click)=showDic('अमल')>अमल</a>-<a (click)=showDic('च्छवी')>च्छवी</a>{स्त्री}{1;द्वि} 
cantoList.SV-22[6].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[6].trRows[4].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[4].tdColumns[0].data,"<a href=""javascript:show('विशेषणम्,')"">विशेषणम्,8</a>"
cantoList.SV-22[6].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[6].trRows[5].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[5].tdColumns[0].data,मिश्रित हुई कान्ति वाले
cantoList.SV-22[6].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[6].trRows[6].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[6].tdColumns[0].data,whose spotless hues were blended
cantoList.SV-22[6].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[6].trRows[7].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[7].tdColumns[0].data,"<a htext=""html/SV-I/SV-22/samaasa3.jpg""   target=""_blank"" onmouseout=""UnTip()"" onmouseover=""Tip('<center><img src=html/SV-I/SV-22/samaasa3.jpg></center>',FONTSIZE,'18pt',HEIGHT,300,STICKY,true,CLOSEBTN,true) ""><छुरितामल-छवी>Bs6</a>"
cantoList.SV-22[6].trRows[7].tdColumns[0].tooltipImage,html/SV-I/SV-22/samaasa3.jpg
cantoList.SV-22[6].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[6].trRows[8].tdColumns[0].className,n1
cantoList.SV-22[6].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[6].trRows[9].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[7].trRows[0].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[0].tdColumns[0].data,तौ
cantoList.SV-22[7].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[7].trRows[1].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[1].tdColumns[0].data,तौ 
cantoList.SV-22[7].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[7].trRows[2].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[2].tdColumns[0].data,तद्{पुं}{1;द्वि}/तद्{पुं}{2;द्वि} 
cantoList.SV-22[7].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[7].trRows[3].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[3].tdColumns[0].data,<a (click)=showDic('तद्')>तद्</a>{पुं}{1;द्वि} 
cantoList.SV-22[7].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[7].trRows[4].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[4].tdColumns[0].data,"<a href=""javascript:show('कर्ता,')"">कर्ता,12</a>"
cantoList.SV-22[7].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[7].trRows[5].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[5].tdColumns[0].data,वे दोनों
cantoList.SV-22[7].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[7].trRows[6].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[6].tdColumns[0].data,those two
cantoList.SV-22[7].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[7].trRows[7].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[7].tdColumns[0].data,-
cantoList.SV-22[7].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[7].trRows[8].tdColumns[0].className,n1
cantoList.SV-22[7].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[7].trRows[9].tdColumns[0].className,n1
cantoList.SV-22[8].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[8].trRows[0].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[0].tdColumns[0].data,तदा
cantoList.SV-22[8].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[8].trRows[1].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[1].tdColumns[0].data,तदा 
cantoList.SV-22[8].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[8].trRows[2].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[2].tdColumns[0].data,तदा{अव्य} 
cantoList.SV-22[8].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[8].trRows[3].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[3].tdColumns[0].data,<a (click)=showDic('तदा')>तदा</a>{अव्य} 
cantoList.SV-22[8].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[8].trRows[4].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[4].tdColumns[0].data,"<a href=""javascript:show('कालाधिकरणम्,')"">कालाधिकरणम्,12</a>"
cantoList.SV-22[8].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[8].trRows[5].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[5].tdColumns[0].data,तब 
cantoList.SV-22[8].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[8].trRows[6].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[6].tdColumns[0].data,then
cantoList.SV-22[8].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[8].trRows[7].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[7].tdColumns[0].data,-
cantoList.SV-22[8].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[8].trRows[8].tdColumns[0].className,NA
cantoList.SV-22[8].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[8].trRows[9].tdColumns[0].className,NA
cantoList.SV-22[9].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[9].trRows[0].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[0].tdColumns[0].data,एकवर्णौ
cantoList.SV-22[9].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[9].trRows[1].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[1].tdColumns[0].data,एकवर्णौ 
cantoList.SV-22[9].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[9].trRows[2].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[2].tdColumns[0].data,एकवर्ण{पुं}{1;द्वि}/एकवर्ण{पुं}{2;द्वि} 
cantoList.SV-22[9].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[9].trRows[3].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[3].tdColumns[0].data,<a (click)=showDic('एकवर्ण')>एकवर्ण</a>{पुं}{1;द्वि} 
cantoList.SV-22[9].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[9].trRows[4].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[4].tdColumns[0].data,"<a href=""javascript:show('प्रतियोगी,')"">प्रतियोगी,11</a>"
cantoList.SV-22[9].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[9].trRows[5].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[5].tdColumns[0].data,एक रंग _के
cantoList.SV-22[9].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[9].trRows[6].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[6].tdColumns[0].data,with same colour
cantoList.SV-22[9].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[9].trRows[7].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[7].tdColumns[0].data,-
cantoList.SV-22[9].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[9].trRows[8].tdColumns[0].className,n1
cantoList.SV-22[9].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[9].trRows[9].tdColumns[0].className,n1
cantoList.SV-22[10].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[10].trRows[0].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[0].tdColumns[0].data,इव
cantoList.SV-22[10].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[10].trRows[1].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[1].tdColumns[0].data,इव 
cantoList.SV-22[10].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[10].trRows[2].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[2].tdColumns[0].data,इव{अव्य} 
cantoList.SV-22[10].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[10].trRows[3].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[3].tdColumns[0].data,<a (click)=showDic('इव')>इव</a>{अव्य} 
cantoList.SV-22[10].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[10].trRows[4].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[4].tdColumns[0].data,"<a href=""javascript:show('अनुयोगी,')"">अनुयोगी,8</a>"
cantoList.SV-22[10].trRows[5].tdColumns[0].row,row6
cantoList.SV-22[10].trRows[5].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[5].tdColumns[0].data,जैसे 
cantoList.SV-22[10].trRows[6].tdColumns[0].row,row7
cantoList.SV-22[10].trRows[6].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[6].tdColumns[0].data,like
cantoList.SV-22[10].trRows[7].tdColumns[0].row,row8
cantoList.SV-22[10].trRows[7].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[7].tdColumns[0].data,-
cantoList.SV-22[10].trRows[8].tdColumns[0].row,row9
cantoList.SV-22[10].trRows[8].tdColumns[0].className,NA
cantoList.SV-22[10].trRows[9].tdColumns[0].row,row12
cantoList.SV-22[10].trRows[9].tdColumns[0].className,NA
cantoList.SV-22[11].trRows[0].tdColumns[0].row,row1
cantoList.SV-22[11].trRows[0].tdColumns[0].className,v
cantoList.SV-22[11].trRows[0].tdColumns[0].data,बभूवतुः.
cantoList.SV-22[11].trRows[1].tdColumns[0].row,row2
cantoList.SV-22[11].trRows[1].tdColumns[0].className,v
cantoList.SV-22[11].trRows[1].tdColumns[0].data,बभूवतुः 
cantoList.SV-22[11].trRows[2].tdColumns[0].row,row3
cantoList.SV-22[11].trRows[2].tdColumns[0].className,v
cantoList.SV-22[11].trRows[2].tdColumns[0].data,भू1{कर्तरि;लिट्;प्र;द्वि;परस्मैपदी;भू;भ्वादिः}/अस्2{कर्तरि;लिट्;प्र;द्वि;परस्मैपदी;असँ;अदादिः}. 
cantoList.SV-22[11].trRows[3].tdColumns[0].row,row4
cantoList.SV-22[11].trRows[3].tdColumns[0].className,v
cantoList.SV-22[11].trRows[3].tdColumns[0].data,<a (click)=showDic('भू1')>भू1</a>{कर्तरि;लिट्;प्र;द्वि;परस्मैपदी;भू;भ्वादिः}. 
cantoList.SV-22[11].trRows[4].tdColumns[0].row,row5
cantoList.SV-22[11].trRows[4].tdColumns[0].className,v
cantoList.SV-22[11].trRows[4].tdColumns[0].data,"<a href=""javascript:show('')"">0</a>"
cantoList.SV-22[11].trRows[5].tdColumns[0].row,row6
